,교회,등대,고주가,절,우물,터널,호텔,연못,연구소,묘지,모사,등산로,소방서,슬럼가,공장,항구,골목길,마을회관,학교,양궁장,병원,숲
나뭇가지,15,,,21,,21,,15,,15,21,,,,,,15,,,30,21,21
철광석,30,30,21,21,,,30,,21,30,30,30,30,21,,,30,21,30,,30,30
고철,,21,30,30,21,30,15,21,30,30,,,30,,30,15,,15,21,21,,
원석,30,30,,,,15,30,30,30,21,,21,21,30,15,30,,21,30,,,30
깃털,,21,,,30,30,21,21,15,,30,15,,21,,,,30,21,,21,21
가죽,,,,,,21,21,,,,21,21,,30,,,30,30,15,,30,15
가위,,,15,15,,,,,,,,,15,15,21,21,,,,30,,
철사,21,,30,30,30,,,30,21,21,,30,,,30,,21,,,21,15,
배터리,,15,,,15,,,,,,15,,,,21,21,21,,,,,
유리조각,21,,21,,21,,,,,,,,21,,,30,,,,15,,
